idx,date_str,no2,Latitude,Longitude,AirQualityStation,s5p_path,img_path
119772,1-5-18,5.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119773,1-5-19,8.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119774,1-5-20,9.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119775,1-5-21,8.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119776,1-6-14,8.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119777,1-6-15,6.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119778,1-6-16,7.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119779,1-6-17,5.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119780,1-6-18,4.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119781,1-6-19,6.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119782,1-6-20,5.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119783,1-6-21,5.3,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119784,1-7-14,17.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119785,1-7-15,22.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119786,1-7-16,13.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119787,1-7-17,4.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119788,1-7-18,2.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119789,1-7-19,1.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119790,1-7-20,1.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119791,1-7-21,2.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119792,1-8-14,4.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119793,1-8-15,3.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119794,1-8-16,5.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119795,1-8-17,11.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119796,1-8-18,14.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119797,1-8-19,16.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119798,1-8-20,9.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119799,1-8-21,9.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119800,1-9-14,6.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119801,1-9-15,5.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119802,1-9-16,5.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119803,1-9-17,5.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119804,1-9-18,5.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119805,1-9-19,4.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119806,1-9-20,6.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119807,1-9-21,8.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119808,1-10-14,17.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119809,1-10-15,10.3,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119810,1-10-16,4.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119811,1-10-17,4.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119812,1-10-18,3.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119813,1-10-19,3.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119814,1-10-20,3.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119815,1-10-21,3.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119816,1-11-14,20.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119817,1-11-15,13.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119818,1-11-16,7.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119819,1-11-17,6.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119820,1-11-18,6.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119821,1-11-19,5.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119822,1-11-20,3.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119823,1-11-21,2.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119824,1-12-14,6.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119825,1-12-15,6.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119826,1-12-16,5.3,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119827,1-12-17,6.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119828,1-12-18,5.3,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119829,1-12-19,6.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119830,1-12-20,5.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119831,1-12-21,7.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119832,1-13-14,16.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119833,1-13-15,9.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119834,1-13-16,4.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119835,1-13-17,3.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119836,1-13-18,3.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119837,1-13-19,4.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119838,1-13-20,4.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119839,1-13-21,9.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119840,1-14-14,8.3,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119841,1-14-15,8.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119842,1-14-16,8.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119843,1-14-17,9.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119844,1-14-18,9.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119845,1-14-19,8.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119846,1-14-20,9.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119847,1-14-21,9.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119848,1-15-14,8.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119849,1-15-15,8.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119850,1-15-16,8.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119851,1-15-17,8.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119852,1-15-18,7.3,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119853,1-15-19,7.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119854,1-15-20,7.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119855,1-15-21,7.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119856,1-16-14,10.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119857,1-16-15,10.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119858,1-16-16,10.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119859,1-16-17,9.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119860,1-16-18,10.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119861,1-17-14,24.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119862,1-17-15,19.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119863,1-17-16,11.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119864,1-17-17,6.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119865,1-17-18,4.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119866,1-17-19,4.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119867,1-17-20,4.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119868,1-17-21,4.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119869,1-17-22,3.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119870,1-18-14,10.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119871,1-18-15,8.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119872,1-18-16,10.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119873,1-18-17,11.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119874,1-18-18,12.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119875,1-18-19,11.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119876,1-18-20,9.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119877,1-18-21,9.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119878,1-18-22,15.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119879,1-19-14,15.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119880,1-19-15,12.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119881,1-19-16,13.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119882,1-19-17,11.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119883,1-19-18,12.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119884,1-19-19,11.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119885,1-19-20,11.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119886,1-19-21,11.3,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119887,1-19-22,13.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119888,1-20-14,17.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119889,1-20-17,9.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119890,1-20-18,9.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119891,1-20-19,10.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119892,1-20-20,10.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119893,1-20-21,10.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119894,1-20-22,13.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119895,1-21-14,9.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119896,1-21-15,8.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119897,1-21-16,6.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119898,1-21-17,6.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119899,1-21-18,5.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119900,1-21-19,4.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119901,1-21-20,6.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119902,1-21-21,7.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119903,1-21-22,7.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119904,1-22-14,18.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119905,1-22-15,17.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119906,1-22-16,16.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119907,1-22-17,16.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119908,1-22-18,18.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119909,1-22-19,16.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119910,1-22-20,20.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119911,1-22-21,19.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119912,1-22-22,19.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119913,1-23-14,15.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119914,1-23-15,16.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119915,1-23-16,18.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119916,1-23-17,18.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119917,1-23-18,16.3,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119918,1-23-19,16.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119919,1-23-20,18.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119920,1-23-21,17.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119921,1-23-22,16.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119922,2-1-14,30.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119923,2-1-19,4.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119924,2-1-20,3.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119925,2-2-14,5.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119926,2-2-16,6.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119927,2-2-17,6.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119928,2-2-18,5.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119929,2-2-21,4.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119930,2-2-22,5.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119931,2-3-17,2.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119932,2-3-18,2.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119933,2-3-19,2.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119934,2-3-20,2.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119935,2-3-21,2.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119936,2-3-22,2.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119937,2-4-14,6.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119938,2-4-15,9.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119939,2-4-16,8.6,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119940,2-4-18,5.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119941,2-4-20,7.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119942,2-4-21,7.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
